"","state.county","date","cases","deaths","per100k","days_since_case100","days_since_death10"
"2648","Texas-Mills",2020-07-10,6,0,123.127436897189,0,0
"2649","Texas-Mitchell",2020-07-10,23,0,269.163253364541,0,0
"2650","Texas-Montague",2020-07-10,26,1,131.193864163891,0,0
"2651","Texas-Montgomery",2020-07-10,3007,41,495.068250928973,101,75
"2652","Texas-Moore",2020-07-10,915,15,4369.62750716332,83,56
"2653","Texas-Morris",2020-07-10,51,0,411.688731030029,0,0
"2654","Texas-Motley",2020-07-10,2,0,166.666666666667,0,0
"2655","Texas-Nacogdoches",2020-07-10,525,29,805.165327280535,79,57
"2656","Texas-Navarro",2020-07-10,493,7,983.776664737693,23,0
"2657","Texas-Newton",2020-07-10,12,0,88.2677454946672,0,0
"2658","Texas-Nolan",2020-07-10,60,0,407.774908250646,0,0
"2659","Texas-Nueces",2020-07-10,5672,42,1565.57933611928,72,8
"2660","Texas-Ochiltree",2020-07-10,60,2,610.004066693778,0,0
"2661","Texas-Oldham",2020-07-10,4,1,189.393939393939,0,0
"2662","Texas-Orange",2020-07-10,493,5,591.155451100772,37,0
"2663","Texas-Palo Pinto",2020-07-10,55,2,188.427147212991,0,0
"2664","Texas-Panola",2020-07-10,223,24,961.45554884884,72,57
"2665","Texas-Parker",2020-07-10,516,1,361.147272498215,32,0
"2666","Texas-Parmer",2020-07-10,236,8,2457.05361790734,30,0
"2667","Texas-Pecos",2020-07-10,138,1,872.148138785313,39,0
"2668","Texas-Polk",2020-07-10,321,0,625.085194633225,15,0
"2669","Texas-Potter",2020-07-10,3048,39,2595.92045309373,85,67
"2670","Texas-Presidio",2020-07-10,26,0,387.828162291169,0,0
"2671","Texas-Rains",2020-07-10,17,0,135.847850407544,0,0
"2672","Texas-Randall",2020-07-10,1045,7,758.824511847102,83,0
"2673","Texas-Reagan",2020-07-10,28,0,727.461678358015,0,0
"2674","Texas-Real",2020-07-10,4,0,115.874855156431,0,0
"2675","Texas-Red River",2020-07-10,119,12,989.769608250853,16,15
"2676","Texas-Reeves",2020-07-10,77,1,481.972959439159,0,0
"2677","Texas-Refugio",2020-07-10,42,0,604.490500863558,0,0
"2678","Texas-Roberts",2020-07-10,6,0,702.576112412178,0,0
"2679","Texas-Robertson",2020-07-10,86,0,503.689820780134,0,0
"2680","Texas-Rockwall",2020-07-10,430,17,409.855597388362,64,49
"2681","Texas-Runnels",2020-07-10,20,0,194.85580670304,0,0
"2682","Texas-Rusk",2020-07-10,249,3,457.670109914348,26,0
"2683","Texas-Sabine",2020-07-10,29,1,275.090115727566,0,0
"2684","Texas-San Augustine",2020-07-10,126,9,1529.68313706447,16,0
"2685","Texas-San Jacinto",2020-07-10,63,0,218.302782494196,0,0
"2686","Texas-San Patricio",2020-07-10,284,0,425.595684100105,15,0
"2687","Texas-San Saba",2020-07-10,10,0,165.152766308836,0,0
"2688","Texas-Schleicher",2020-07-10,23,1,823.487289652703,0,0
"2689","Texas-Scurry",2020-07-10,90,1,538.825360713644,0,0
"2690","Texas-Shackelford",2020-07-10,8,0,245.022970903522,0,0
"2691","Texas-Shelby",2020-07-10,292,14,1155.33750098916,74,6
"2692","Texas-Sherman",2020-07-10,32,0,1058.90138980807,0,0
"2693","Texas-Smith",2020-07-10,1300,8,558.536805427259,89,0
"2694","Texas-Somervell",2020-07-10,23,0,251.971954425942,0,0
"2695","Texas-Starr",2020-07-10,936,4,1448.17662803831,28,0
"2696","Texas-Stephens",2020-07-10,13,0,138.799914584668,0,0
"2697","Texas-Sutton",2020-07-10,20,0,529.661016949153,0,0
"2698","Texas-Swisher",2020-07-10,53,1,716.506691902122,0,0
"2699","Texas-Tarrant",2020-07-10,17334,262,824.441204937896,106,97
"2700","Texas-Taylor",2020-07-10,748,7,541.895475027892,84,0
"2701","Texas-Terrell",2020-07-10,2,0,257.731958762887,0,0
"2702","Texas-Terry",2020-07-10,47,0,380.967820377726,0,0
"2703","Texas-Throckmorton",2020-07-10,1,0,66.6222518321119,0,0
"2704","Texas-Titus",2020-07-10,965,6,2946.56488549618,54,0
"2705","Texas-Tom Green",2020-07-10,641,1,537.751677852349,27,0
"2706","Texas-Travis",2020-07-10,14304,166,1122.80349211981,108,89
"2707","Texas-Trinity",2020-07-10,56,0,382.226469182991,0,0
"2708","Texas-Tyler",2020-07-10,36,0,166.112956810631,0,0
"2709","Texas-Upshur",2020-07-10,86,0,205.973223480947,0,0
"2710","Texas-Upton",2020-07-10,11,0,300.792999726552,0,0
"2711","Texas-Uvalde",2020-07-10,207,1,774.092217942485,7,0
"2712","Texas-Val Verde",2020-07-10,503,3,1026.00713921469,15,0
"2713","Texas-Van Zandt",2020-07-10,167,3,295.105142251281,8,0
"2714","Texas-Victoria",2020-07-10,1673,10,1816.81942574171,79,1
"2715","Texas-Walker",2020-07-10,2194,28,3006.67388414576,79,58
"2716","Texas-Waller",2020-07-10,226,0,409.079390363103,23,0
"2717","Texas-Ward",2020-07-10,36,0,300.050008334722,0,0
