"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"10414","Thailand",2020-05-04,104,2987,18,54,0,2740,1,193,4.3,0,0.3,51,35
"10505","The Bahamas",2020-05-04,104,83,0,11,0,25,1,47,21.1,0,12,0,12
"10563","The Gambia",2020-05-04,104,17,0,1,0,9,0,7,0.7,0,0.3,0,0
"10596","Timor-Leste",2020-05-04,104,24,0,0,0,20,4,4,1.8,0,0.3,0,0
"10662","Togo",2020-05-04,104,126,2,9,0,74,7,43,1.5,0,0.5,6,0
"10680","Trinidad and Tobago",2020-05-04,104,116,0,8,0,99,6,9,8.3,0,0.6,31,0
"10722","Tunisia",2020-05-04,104,1018,5,43,1,406,78,569,8.6,0,4.8,42,35
"10814","Turkey",2020-05-04,104,127659,1614,3461,64,68166,5015,56032,151.4,1.9,66.4,47,44
"10852","Uganda",2020-05-04,104,97,8,0,0,55,3,42,0.2,0,0.1,0,0
"10884","UK",2020-05-04,104,191832,3990,28809,289,910,9,162113,282.6,5.9,238.8,61,53
"11028","Ukraine",2020-05-04,104,12331,418,303,15,1619,71,10409,28.2,1,23.8,41,37
"11113","United Arab Emirates",2020-05-04,104,14730,567,137,11,2966,203,11627,148.9,5.7,117.6,48,31
"11147","Uruguay",2020-05-04,104,657,2,17,0,447,5,193,18.9,0.1,5.6,45,16
"11238","USA",2020-05-04,104,1180375,22335,68922,1240,187180,7028,924273,356.6,6.7,279.2,63,62
"11319","Uzbekistan",2020-05-04,104,2189,40,10,0,1405,86,774,6.5,0.1,2.3,38,2
"11391","Venezuela",2020-05-04,104,357,0,10,0,158,0,189,1.3,0,0.7,40,14
"11443","Vietnam",2020-05-04,104,271,0,0,0,219,0,52,0.3,0,0.1,44,0
"11516","West Bank and Gaza",2020-05-04,104,362,9,2,0,102,25,258,7.5,0.2,5.4,37,0
"11568","Western Sahara",2020-05-04,104,6,0,0,0,5,0,1,1,0,0.2,0,0
"11615","Yemen",2020-05-04,104,12,2,2,0,1,0,9,0,0,0,0,0
"11648","Zambia",2020-05-04,104,137,13,3,0,78,0,56,0.7,0.1,0.3,5,0
"11672","Zimbabwe",2020-05-04,104,34,0,4,0,5,0,25,0.2,0,0.2,0,0
